,nomes,autores,colocacoes,numero_avaliacoes,precos,notas
72,A ciranda das mulheres sábias,Clarissa Pinkola Estés,73.0,802.0,16.7,4.8
73,Ansiedade: Como enfrentar o mal do século,nan,74.0,1227.0,9.9,4.6
74,Orgulho e preconceito,nan,75.0,1071.0,43.13,4.8
75,Meditações,Marco Aurélio,76.0,395.0,25.13,4.8
76,Tempestade de guerra,nan,77.0,814.0,27.35,4.6
77,As coisas que você só vê quando desacelera,nan,78.0,834.0,38.8,4.7
78,Os segredos da mente milionária,T. Harv Eker,79.0,4752.0,17.9,4.8
79,Admirável mundo novo,Aldous Leonard Huxley,80.0,2863.0,29.9,4.7
80,O poder do agora,nan,81.0,1192.0,24.89,4.7
81,Simplesmente Bela + 01 Tampa Reutilizável De Pano,Bela Gil,82.0,,39.92,
82,Em Busca De Sentido: Um psicólogo no campo de concentração,nan,83.0,964.0,44.29,4.9
83,A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,Ana Claudia Quintana Arantes,84.0,804.0,28.89,4.9
84,O duque e eu: Os Bridgertons – Livro 1,nan,85.0,1528.0,19.98,4.7
85,O poder do subconsciente,nan,86.0,1087.0,23.89,4.7
86,Alice no País das Maravilhas (Classic Edition),nan,87.0,966.0,46.6,4.8
87,A rainha vermelha,nan,88.0,1519.0,39.9,4.7
88,Essays in honour of henry g. schermers,Matthijs De Blois,89.0,,nan,
89,Homo Deus,nan,90.0,1718.0,39.0,4.8
90,A elite,nan,91.0,1259.0,19.9,4.8
91,Amoras,nan,92.0,1323.0,20.9,4.7
92,O Colecionador,nan,93.0,1352.0,47.9,4.7
93,O jeito Warren Buffett de investir: Os segredos do maior investidor do mundo,nan,94.0,773.0,30.9,4.8
94,Harry Potter e o cálice de fogo,nan,95.0,1191.0,48.67,4.9
95,Espada de vidro,nan,96.0,895.0,23.9,4.6
96,Olhos D'Agua,nan,97.0,963.0,22.4,4.8
97,A irmã do sol + pulseira exclusiva,Lucinda Riley,98.0,16.0,44.9,4.3
98,Como convencer alguém em 90 segundos: Crie uma primeira impressão vendedora,nan,99.0,1011.0,14.79,4.7
99,Eu estou pensando em acabar com tudo,nan,100.0,103.0,29.93,4.3
